,Cluster_0,Cluster_1,Cluster_2,Cluster_3
1553441_at,4.906890596000009,-2.4684599999999994,-0.9706916666666664,4.906890596000023
1555102_at,4.906890596000009,-1.8736849999999996,-0.9646166666666665,4.906890596000023
1555756_a_at,9.364427372327048,7.753542499999999,7.035502777777778,6.049532473947028
1555745_a_at,12.30858645384277,11.092450000000003,11.004794444444443,10.06075483045364
1556395_at,5.576665371251584,2.1462574999999995,1.7630249999999998,5.597983885708626
1556598_at,4.909363760333343,-0.3511499999999999,0.6671083333333332,4.998536131963597
1553808_a_at,6.196462262012587,4.1829725,5.1665333333333345,6.3023787404768346
1554764_a_at,4.906890596000009,-0.6801625,-0.28707777777777777,4.906890596000023
1553963_at,4.906890596000009,-0.5984300000000001,-0.4452583333333333,4.906890596000023
1555412_at,4.906890596000009,-1.1562025,0.38580833333333336,4.906890596000023
1557636_a_at,4.906890596000009,0.15813000000000002,-0.5732583333333334,4.906890596000023
1555939_at,4.906890596000009,-0.35584499999999997,-0.05183333333333335,4.906890596000023
1554920_at,4.906890596000009,0.003022500000000017,0.12209166666666664,4.906890596000023
1556366_s_at,4.906890596000009,-0.6642174999999999,0.24380833333333335,4.90918537164903
1555928_at,4.906890596000009,-1.0122874999999998,0.9155527777777777,4.906890596000023
1552661_at,4.906890596000009,0.01882750000000003,0.5770527777777777,4.908838162000023
1555111_at,4.906890596000009,-0.6711675,0.7954222222222223,4.906890596000023
1557017_at,4.906890596000009,0.15016999999999997,0.051425000000000054,4.906890596000023
1554892_a_at,7.002843347937108,7.224670000000001,7.236627777777778,7.032053454215235
1552972_at,4.906890596000009,0.0008700000000000142,0.16721388888888888,4.907153908380819
1559265_at,4.945003326911957,0.6181400000000001,0.8308611111111113,5.0035343647450485
1559483_at,4.906890596000009,-0.38489249999999997,0.2232805555555555,4.906890596000023
1552521_a_at,4.906890596000009,-0.07154749999999999,0.3706916666666667,4.914902314182143
1557627_at,4.906890596000009,-0.05767999999999999,0.3093666666666668,4.906890596000023
1557692_a_at,4.906890596000009,-0.1794075,0.5054666666666667,4.906890596000023
1553886_at,4.906890596000009,-0.3364175,0.7655583333333335,4.906890596000023
1554723_x_at,4.906890596000009,-0.14873250000000016,0.9764916666666665,4.906890596000023
1554354_at,4.906890596000009,-0.10760750000000005,1.0451611111111112,4.906890596000023
1559477_s_at,6.946829581993713,5.949910000000001,6.044130555555556,6.765200762708618
1556300_s_at,4.906890596000009,-0.0031400000000000594,1.0814527777777778,4.906890596000023
1557741_at,4.906890596000009,-0.0005899999999999649,0.5987000000000003,4.906890596000023
1555504_at,4.906890596000009,0.31077000000000005,0.3173361111111111,4.906890596000023
1554507_at,4.906890596000009,-0.31323250000000014,1.4189388888888892,4.908192692453666
1559502_s_at,8.498250118924528,7.7065600000000005,6.032799999999999,6.009536184986763
1555167_s_at,7.9449033729496845,6.977097499999997,5.909116666666666,6.1051872982086195
1554899_s_at,10.898340253805035,9.463752500000002,9.047813888888887,8.273079291139076
1559147_at,4.929706262748437,0.18300000000000005,1.1354333333333335,5.006024958298035
1553183_at,5.487238327540887,4.486384999999999,4.9426250000000005,6.078644974258289
1553546_at,4.906890596000009,-0.2696125,1.1924305555555559,4.906890596000023
1553362_at,4.906890596000009,0.2812799999999999,0.8652861111111113,4.906890596000023
1552771_a_at,4.906890596000009,-0.06997500000000002,0.5505722222222222,4.906890596000023
1554997_a_at,7.13021077755346,6.325782500000001,6.037180555555555,5.988650300221868
1555800_at,4.906890596000009,-0.1735425,0.7386138888888889,4.906890596000023
1553320_s_at,4.906890596000009,-0.21389250000000004,1.7267944444444439,4.906890596000023
1556759_at,4.906890596000009,0.1351275,0.9429083333333335,4.907316865251679
1558667_at,4.906890596000009,-0.14301999999999998,1.135336111111111,4.906890596000023
1556288_at,4.906890596000009,0.012407500000000009,0.6362944444444444,4.906890596000023
1554131_at,4.906890596000009,0.5406124999999999,0.7711638888888889,4.906890596000023
1553276_at,4.906890596000009,0.42256499999999997,0.5191555555555554,4.9190557250165785
1554142_at,4.906890596000009,0.4413575000000002,0.9326861111111112,4.906890596000023
1558387_at,4.906890596000009,0.19372250000000008,1.2297777777777779,4.906890596000023
1553344_at,4.906890596000009,0.152545,1.047511111111111,4.906890596000023
1554884_at,4.906890596000009,0.37060249999999995,0.561438888888889,4.906890596000023
1553636_at,4.906890596000009,0.220025,0.7493333333333333,4.906890596000023
1559264_at,4.906890596000009,0.21738500000000002,0.5857388888888888,4.906890596000023
1553830_s_at,4.906890596000009,0.020800000000000013,0.9868583333333335,4.906890596000023
1557326_at,4.906890596000009,0.42312500000000003,0.8437777777777778,4.9095911768874405
1555214_a_at,6.746520376616355,4.3749325,4.082463888888889,4.996347272854325
1553765_a_at,4.906890596000009,0.5965524999999998,0.8801138888888889,4.906890596000023
1555601_at,4.906890596000009,0.04733250000000004,1.156861111111111,4.906890596000023
1557534_at,4.958265761069192,1.5433750000000002,3.6004249999999995,5.414260601443726
1557765_at,4.906890596000009,0.4246825,1.4207166666666668,4.906890596000023
1555710_at,4.906890596000009,0.5406699999999999,0.6853194444444445,4.906890596000023
1556351_at,4.906890596000009,0.2464825,1.4505833333333331,4.906890596000023
1553613_s_at,5.311450639754727,3.9205700000000006,4.063172222222221,5.745271056715247
1557475_at,4.907275502641519,0.7593300000000001,1.0004805555555556,4.906890596000023
1405_i_at,8.061329825301888,8.0612575,7.7127722222222195,7.706565683205298
1554190_s_at,4.906890596000009,0.28989750000000003,1.0269666666666666,4.906890596000023
1557849_at,4.906890596000009,0.3856649999999999,1.221227777777778,4.906890596000023
1555444_a_at,4.906890596000009,0.32167249999999975,1.1040111111111113,4.906890596000023
1553482_at,4.906890596000009,0.27203,0.8736583333333335,4.906890596000023
1553822_at,4.906890596000009,0.7544025,0.6658083333333333,4.906890596000023
1557746_at,4.906890596000009,0.46160500000000004,1.2292527777777777,4.906890596000023
1559506_x_at,4.906890596000009,0.5243749999999998,1.1538722222222222,4.90722866946691
1552367_a_at,4.906890596000009,0.12457750000000004,1.2405666666666664,4.908371186536447
1555602_a_at,4.906890596000009,0.36112500000000003,0.8917861111111114,4.906890596000023
1555527_at,4.906890596000009,0.2593399999999999,1.2900249999999998,4.906890596000023
1559213_at,4.906890596000009,0.5465025,1.0918555555555556,4.906890596000023
1556034_s_at,6.898110056817612,5.2185299999999994,5.013830555555554,5.107795579311279
1554492_at,4.906890596000009,1.3028425000000006,0.3482833333333334,4.906890596000023
1554600_s_at,8.499241721119496,7.494737499999999,7.374463888888889,7.194103957516551
1559653_at,4.906890596000009,0.43609,1.7990777777777778,4.906890596000023
1554679_a_at,6.528734709628931,7.170977500000001,7.281005555555556,7.441350836304632
1552487_a_at,4.906890596000009,0.465105,1.3601027777777779,4.906890596000023
1554012_at,4.906890596000009,0.7686124999999999,0.9979250000000002,4.906890596000023
1557180_at,4.906890596000009,0.559145,1.6546555555555562,4.906890596000023
1553448_at,4.906890596000009,0.4314475,0.952875,4.906890596000023
1552993_at,4.906890596000009,0.82681,0.8314583333333335,4.906890596000023
1555033_a_at,4.906890596000009,0.3653375,1.027947222222222,4.906890596000023
1555794_at,4.906890596000009,0.3072000000000001,1.9376638888888889,4.906890596000023
1559504_at,4.906890596000009,0.7231425,1.4212055555555556,4.907446179079494
1555038_at,4.906890596000009,0.3584125000000001,1.1882666666666666,4.906890596000023
1556592_at,4.906890596000009,0.8432400000000001,0.9858027777777778,4.906890596000023
1559341_at,4.906890596000009,0.5222000000000001,1.2041250000000001,4.909276300559626
1558871_at,5.712410036622647,5.476280000000001,5.115508333333333,6.2811492156258355
1552990_at,4.906890596000009,0.6465200000000001,0.825675,4.906890596000023
1552906_at,4.906890596000009,0.7843974999999999,1.2398305555555555,4.906890596000023
1555503_a_at,5.807855326207549,6.404557499999998,6.364944444444443,6.350514639725172
1559543_at,4.912950181685543,0.07989249999999996,2.1111861111111114,4.921802310688765
1553620_at,4.906890596000009,0.38565000000000005,1.199738888888889,4.906890596000023
1556884_a_at,4.906890596000009,0.9511600000000001,1.3071805555555553,4.906890596000023
1559709_at,4.906890596000009,0.5591825000000001,0.9895361111111112,4.906890596000023
1556996_at,4.906890596000009,0.6181800000000001,1.173663888888889,4.906890596000023
1554624_a_at,7.873742863672953,6.9829825,6.163905555555557,5.598682784473522
1554072_s_at,4.906890596000009,0.8870850000000001,1.4422416666666664,4.906890596000023
1553874_a_at,4.906890596000009,0.5149950000000001,1.1121277777777776,4.907016317357639
1553654_at,4.906890596000009,0.8603425,1.1848750000000003,4.906890596000023
1557403_s_at,4.914080106408814,1.3284275,1.1654277777777777,4.920980091245054
1556749_at,4.906890596000009,0.6568,0.9440888888888891,4.906890596000023
1557181_s_at,4.906890596000009,0.3342325,1.8891638888888889,4.906890596000023
1555492_a_at,4.906890596000009,0.6752100000000001,1.1303833333333333,4.906890596000023
1555533_at,4.906890596000009,0.7127799999999997,0.9489361111111112,4.906890596000023
1557359_at,5.9598048976603835,5.686195000000001,5.998972222222223,6.530182837910603
1554981_at,4.906890596000009,0.9640224999999999,1.0974777777777773,4.906890596000023
1559274_at,4.906890596000009,0.7680624999999999,1.5161999999999998,4.906890596000023
1552987_a_at,4.906890596000009,1.1779849999999996,1.1648555555555555,4.907640624241745
1558480_at,4.906890596000009,0.9786725000000001,1.3603861111111109,4.906890596000023
1559725_at,4.906890596000009,0.996865,1.190736111111111,4.906890596000023
1554982_a_at,4.907333296169821,0.4907874999999999,1.2974055555555557,4.906890596000023
1556095_at,4.906890596000009,1.5072024999999998,0.6950333333333335,4.907879530817905
1554156_a_at,4.906890596000009,1.2445950000000001,0.6271611111111111,4.906938130082804
1555197_a_at,4.906890596000009,0.8985275000000001,0.7856666666666666,4.906890596000023
1554912_at,4.906890596000009,0.32999999999999996,1.7023527777777778,4.906890596000023
1557762_at,4.906890596000009,0.9099025000000001,1.4207000000000003,4.913859510059625
1552566_at,4.906890596000009,0.81602,0.989186111111111,4.906890596000023
1556207_a_at,4.906890596000009,0.8895650000000004,1.3455472222222222,4.906890596000023
1556625_a_at,4.906890596000009,0.7065499999999999,1.7824277777777777,4.906890596000023
1554932_at,4.906890596000009,0.74759,1.0487833333333334,4.906890596000023
1557791_at,4.906890596000009,0.6903800000000001,1.167827777777778,4.906890596000023
1558834_s_at,4.906890596000009,1.0978074999999996,1.1783666666666668,4.907943827023202
1554272_at,4.906890596000009,1.2499625,0.8267666666666665,4.906890596000023
1553494_at,4.906890596000009,0.7559999999999999,1.5004472222222223,4.9091259044602875
1554550_at,4.9074477904842855,0.7810600000000001,1.8025083333333332,4.908143945745056
1553776_at,4.906890596000009,0.6695800000000001,1.76815,4.906890596000023
1552489_s_at,4.906890596000009,1.3153825000000003,0.9615444444444443,4.906890596000023
1557837_a_at,4.906890596000009,0.76642,1.1191138888888887,4.906890596000023
1558009_at,4.909386760477997,0.6350499999999999,2.138863888888889,4.906890596000023
1559590_at,4.906890596000009,0.8695624999999998,1.5326666666666664,4.906890596000023
1553924_at,4.906890596000009,0.9931699999999999,0.9334444444444444,4.906890596000023
1557506_a_at,4.906890596000009,0.8870699999999999,1.2656444444444448,4.908429232645719
1557881_at,4.906890596000009,1.298205,0.8626833333333335,4.906890596000023
1553383_at,4.906890596000009,0.5210750000000001,1.6848000000000003,4.906890596000023
1559567_at,4.906890596000009,0.6496474999999999,1.285902777777778,4.906890596000023
1559685_at,4.906890596000009,0.918535,1.2831027777777775,4.906890596000023
1557261_at,5.70306225503145,5.071389999999999,5.135397222222222,6.001295366387429
1559612_at,4.906890596000009,1.4846425,1.0317583333333333,4.906890596000023
1559124_at,4.906890596000009,0.49917000000000017,2.0074888888888887,4.907853568059626
1555804_a_at,4.906890596000009,0.7339300000000001,1.1520138888888887,4.906890596000023
1552394_a_at,4.906890596000009,0.769975,1.6991138888888888,4.908429232645719
1554855_at,4.906890596000009,0.6812700000000002,1.2399416666666665,4.906890596000023
1557599_a_at,4.906890596000009,1.3552450000000003,1.0698555555555558,4.906890596000023
1556851_at,4.906890596000009,0.652665,1.4210277777777778,4.906890596000023
1555728_a_at,7.755210422855346,6.695745,6.584016666666668,5.732226127973519
1552843_at,4.906890596000009,0.5755774999999999,1.4027722222222223,4.906890596000023
1557597_at,4.906890596000009,0.7379325,1.6272944444444446,4.906890596000023
1552338_at,4.906890596000009,0.7491749999999999,1.1407666666666667,4.906890596000023
1555142_at,4.906890596000009,0.7675500000000001,1.407719444444444,4.906890596000023
1557822_at,4.906890596000009,1.2565175,0.9312666666666666,4.906890596000023
1555341_at,4.906890596000009,0.9046375,1.6952805555555557,4.906890596000023
1552837_at,4.906890596000009,1.0274874999999999,1.8445500000000001,4.906890596000023
1555938_x_at,8.418758594113214,8.3950025,7.96853055555556,7.489919188791388
1554887_at,4.906890596000009,0.9863050000000001,1.21095,4.906890596000023
1553022_at,4.906890596000009,1.2057850000000003,1.2169388888888888,4.906890596000023
1558121_at,4.91084759162265,0.8581975,1.6070166666666668,4.906890596000023
1559086_at,4.906890596000009,0.967455,1.3043777777777776,4.907138814731812
1555692_at,4.906890596000009,0.6691874999999999,1.5646361111111113,4.906890596000023
1558708_at,4.907504500377367,0.921275,2.0640555555555555,4.907969305142408
1557863_at,4.910206968213846,0.5240250000000001,2.1678222222222217,4.909954554248367
1558210_at,4.906890596000009,0.6414350000000002,1.545586111111111,4.906890596000023
1553868_a_at,4.906890596000009,1.0945675000000001,1.7165000000000004,4.906890596000023
1556392_a_at,4.906890596000009,1.7221200000000003,0.7911444444444444,4.906890596000023
1557427_at,4.906890596000009,0.8451000000000001,1.3108722222222222,4.906890596000023
1552908_at,5.830321984572333,5.420772499999998,6.439655555555556,6.707487571894047
1557151_at,4.906890596000009,0.70469,1.5800500000000002,4.906890596000023
1554988_at,4.906890596000009,1.0433774999999998,1.132538888888889,4.906890596000023
1552798_a_at,7.388720634415093,6.1905825,5.799827777777779,5.516220263781467
1557991_at,4.906890596000009,0.9207299999999998,1.150725,4.906890596000023
1554378_a_at,4.906890596000009,0.8069450000000004,1.5405194444444446,4.906890596000023
1557079_at,4.907275502641518,1.1917824999999997,1.3519027777777777,4.906890596000023
1552269_at,4.906890596000009,0.9372875000000003,1.2868333333333333,4.906890596000023
1553147_at,4.906890596000009,0.9216799999999999,1.3774916666666666,4.906890596000023
1556297_a_at,4.906890596000009,0.9391374999999998,1.3452194444444443,4.906890596000023
1555382_at,4.906890596000009,1.2475975,1.515958333333333,4.906890596000023
1559686_a_at,4.906890596000009,0.7924325000000001,1.3031138888888885,4.906890596000023
1556920_s_at,4.90709987998743,0.7655424999999998,1.5198027777777778,4.910015128509957
1556872_s_at,4.906890596000009,0.8799549999999998,1.3259999999999998,4.906890596000023
1558216_at,4.906890596000009,0.7260099999999999,1.3690555555555557,4.906890596000023
1554725_at,4.912257589308185,0.83917,1.6147166666666672,4.909095890940421
1555579_s_at,5.446807480125797,3.3694950000000006,3.820666666666667,5.201727678195385
1557498_a_at,4.913271087358499,0.8107600000000004,1.7469388888888888,4.910276181185454
1554406_a_at,8.160867280471699,7.2615799999999995,6.748341666666667,5.99474465041391
1553965_x_at,4.906890596000009,0.8800775,1.4537000000000002,4.906890596000023
1556776_a_at,4.906890596000009,0.9825975000000001,1.3261166666666666,4.906890596000023
1552448_a_at,4.906890596000009,1.2240149999999996,1.1141361111111112,4.906890596000023
1555498_at,4.906890596000009,0.8076625,1.8125138888888885,4.916191049344395
1556159_at,4.906890596000009,1.1332525000000002,1.6241,4.912427815586116
1556262_at,4.906890596000009,1.0071350000000003,1.3842555555555556,4.906890596000023
1557876_at,4.906890596000009,0.7677599999999999,1.7973277777777779,4.906890596000023
1556624_at,4.906890596000009,0.8476100000000002,2.3785611111111122,4.906890596000023
1553009_s_at,4.906890596000009,0.8625100000000001,1.3590222222222221,4.906890596000023
1557362_at,4.906890596000009,0.9356899999999998,1.1936750000000003,4.906890596000023
1559275_x_at,4.906890596000009,1.2997775,1.3926250000000002,4.906890596000023
1552496_a_at,4.909660537635229,0.56449,2.3620333333333323,4.932653807639096
1555759_a_at,7.633354439182388,7.5898150000000015,7.46308888888889,7.355900484235097
1558689_a_at,4.906890596000009,0.837495,1.8053277777777776,4.907016317357639
1555227_a_at,4.911984700044035,2.646475,0.5128305555555556,4.907731513228499
1556883_a_at,4.906890596000009,0.8502074999999998,1.4954944444444445,4.906890596000023
1553962_s_at,7.739131240861632,7.319627499999998,7.334188888888887,6.859755811966886
1553295_at,4.911249413559757,1.6026075000000002,2.351630555555555,4.914379733513267
1559542_a_at,4.906890596000009,1.1357650000000001,1.7053555555555553,4.906890596000023
1552365_at,4.930405534547178,1.32338,1.8771138888888892,4.9337648116390955
1553266_at,4.906890596000009,1.3871850000000001,1.6791583333333335,4.906890596000023
1556210_at,4.906890596000009,1.8271299999999997,1.4145694444444443,4.925841681781479
1554526_at,4.906890596000009,0.9021925000000002,2.549894444444444,4.90794746341393
1552439_s_at,4.906890596000009,0.8728049999999999,1.7705833333333332,4.906890596000023
1552449_a_at,4.906890596000009,1.27691,1.1551722222222223,4.906890596000023
1558571_at,4.906890596000009,0.7891575000000002,1.7314999999999996,4.906890596000023
1553898_a_at,4.906890596000009,0.8249199999999994,1.7262055555555555,4.9069064933046596
1552424_at,4.908340991773595,0.5162325,2.2403277777777775,4.906890596000023
1558193_at,4.906890596000009,0.782535,1.723263888888889,4.906890596000023
1555349_a_at,11.694610450880498,10.7918475,10.630363888888889,9.849497802913898
1558411_at,4.9501205938301975,2.5795350000000004,2.452036111111111,5.026538640447042
1557883_a_at,4.906890596000009,1.1821125000000001,2.111836111111111,4.908531970708633
1556936_at,4.906890596000009,1.7197274999999999,1.7270861111111113,4.906890596000023
1555798_at,4.906890596000009,1.3626275000000003,1.3509916666666664,4.906890596000023
1553194_at,5.158425220754724,3.2450875000000003,4.471283333333334,5.555434232089419
1555643_s_at,7.160426122823905,6.025884999999999,5.900819444444447,5.435272235844382
1554022_at,4.906890596000009,1.3393850000000003,1.3624472222222224,4.906890596000023
1559621_at,4.906890596000009,0.9865049999999999,1.8007916666666663,4.907530483665586
1557009_a_at,4.906890596000009,1.2408100000000002,1.3981638888888892,4.906890596000023
1555979_at,4.908158733490575,0.8064374999999998,1.735811111111111,4.906890596000023
1556837_a_at,4.906890596000009,1.1471725000000002,1.3034111111111106,4.906890596000023
1558757_at,4.906890596000009,1.5239724999999997,1.3578555555555556,4.906890596000023
1555665_at,4.906890596000009,0.8633750000000001,1.6500666666666663,4.906890596000023
1552913_at,4.906890596000009,1.2274875,2.7232472222222217,4.90722866946691
1552623_at,8.149004894320756,8.131272500000001,8.620758333333335,9.024018805241727
1555817_s_at,4.906890596000009,0.8625025000000003,2.3362499999999997,4.906890596000023
1553982_a_at,6.080470666553466,6.176260000000001,6.3213333333333335,6.6749251047781515
1556287_a_at,4.906890596000009,1.3927075000000004,1.5965972222222222,4.906890596000023
1553075_a_at,4.906890596000009,1.3126650000000002,1.7767361111111113,4.906890596000023
1552713_a_at,5.63283499284906,6.4359850000000005,6.1439611111111105,6.18795850426159
1558900_at,4.906890596000009,1.8196125000000003,1.3715861111111112,4.906890596000023
1552393_at,4.9094554131698205,1.07223,2.154783333333333,4.907969305142407
1557566_at,4.908468970672965,1.2831150000000002,2.1308166666666666,4.910822366678831
1556579_s_at,6.625890660496857,7.2121325,7.068122222222224,7.482632833884108
1557604_at,4.906890596000009,1.3994499999999999,1.628838888888889,4.906890596000023
1559280_a_at,4.906890596000009,0.842875,2.3897666666666666,4.9120861144934
1557468_at,4.906890596000009,1.2163799999999996,1.7498250000000002,4.906890596000023
